date,us2yield,sp500,usd_index,us2yield_change,sp500_return,usd_index_change
2021-01-27,0.12,3750.77,112.0782,,,
2021-01-28,0.12,3787.38,112.0059,0.0,0.009760662477304782,-0.0006450853065091966
2021-01-29,0.11,3714.24,111.9511,-0.009999999999999995,-0.019311502938707092,-0.0004892599407709808
2021-02-01,0.11,3773.86,112.4189,0.0,0.01605173602136656,0.00417861012531362
2021-02-02,0.11,3826.31,112.2862,0.0,0.013898236818535858,-0.0011804064974839656
2021-02-03,0.11,3830.17,112.2567,0.0,0.001008804827627774,-0.00026272150985606757
2021-02-04,0.11,3871.74,112.7469,0.0,0.01085330416143404,0.004366777216860962
2021-02-05,0.09,3886.83,112.2379,-0.020000000000000004,0.003897472454245321,-0.004514536541581182
2021-02-08,0.11,3915.59,112.0428,0.020000000000000004,0.007399345996609075,-0.0017382720097222082
2021-02-09,0.11,3911.23,111.7675,0.0,-0.0011134975827398197,-0.0024570967523125375
2021-02-10,0.11,3909.88,111.5834,0.0,-0.0003451599624669788,-0.0016471693470820892
2021-02-11,0.11,3916.38,111.5272,0.0,0.0016624551137118804,-0.0005036591464322449
2021-02-12,0.11,3934.83,111.4889,0.0,0.004710983101741784,-0.00034341398331516615
2021-02-16,0.13,3932.59,111.7879,0.020000000000000004,-0.0005692749114954987,0.0026818813352718074
2021-02-17,0.11,3931.33,112.0204,-0.020000000000000004,-0.0003203995331321208,0.002079831538118082
2021-02-18,0.11,3913.97,112.1603,0.0,-0.004415808390544673,0.0012488796683463033
2021-02-19,0.11,3906.71,111.7058,0.0,-0.0018548941356217874,-0.004052235951580108
2021-02-22,0.11,3876.5,111.918,0.0,-0.007732849379657014,0.001899632785405947
2021-02-23,0.11,3881.37,111.8981,0.0,0.0012562878885591378,-0.00017780875283690545
2021-02-24,0.12,3925.43,111.7212,0.009999999999999995,0.01135166191319037,-0.001580902624798819
2021-02-25,0.17,3829.34,111.9253,0.05000000000000002,-0.024478846903396523,0.0018268690275435873
2021-02-26,0.14,3811.15,112.8306,-0.03,-0.004750165824920272,0.008088430408495828
2021-03-01,0.13,3901.82,112.5263,-0.010000000000000009,0.023790719336683086,-0.0026969634124076602
2021-03-02,0.13,3870.29,112.5342,0.0,-0.008080844323930969,7.020580966399237e-05
2021-03-03,0.14,3819.72,112.7617,0.010000000000000009,-0.01306620434127681,0.002021607653495572
2021-03-04,0.14,3768.47,112.7037,0.0,-0.013417213827191521,-0.0005143590421216038
2021-03-05,0.14,3841.94,113.7487,0.0,0.019495975820425837,0.009272100206115796
2021-03-08,0.17,3821.35,114.2678,0.03,-0.005359271617984662,0.004563568638586535
2021-03-09,0.17,3875.44,113.928,0.0,0.014154683554241432,-0.002973716130003301
2021-03-10,0.16,3898.81,113.5881,-0.010000000000000009,0.006030283013025661,-0.002983463239941031
2021-03-11,0.14,3939.34,112.9214,-0.01999999999999999,0.010395479646353678,-0.005869452874024628
2021-03-12,0.14,3943.34,113.0269,0.0,0.0010153985185334946,0.000934278179335335
2021-03-15,0.14,3968.94,113.1928,0.0,0.006491958593476621,0.0014677921804455707
2021-03-16,0.15,3962.71,112.9839,0.009999999999999981,-0.0015696886322292825,-0.0018455237435596183
2021-03-17,0.13,3974.12,113.1589,-0.01999999999999999,0.0028793426720601367,0.0015488932493921137
2021-03-18,0.16,3915.46,112.7744,0.03,-0.014760500437832724,-0.0033978767909550456
2021-03-19,0.16,3913.1,112.9756,0.0,-0.0006027388863633076,0.0017840928437660164
2021-03-22,0.15,3940.59,113.0023,-0.010000000000000009,0.0070251207482558975,0.00023633421729996051
2021-03-23,0.15,3910.52,113.2916,0.0,-0.0076308370066411335,0.002560124882413861
2021-03-24,0.14,3889.14,113.6565,-0.009999999999999981,-0.005467303581109473,0.003220891928439551
2021-03-25,0.14,3909.52,114.0016,0.0,0.00524023305923671,0.003036341960204636
2021-03-26,0.14,3974.54,113.7406,0.0,0.016631197691788335,-0.002289441551697524
2021-03-29,0.14,3971.09,113.9314,0.0,-0.0008680249789911887,0.0016775012616427887
2021-03-30,0.16,3958.55,114.203,0.01999999999999999,-0.003157823166939022,0.002383890657009502
2021-03-31,0.16,3972.89,113.8234,0.0,0.003622538555784205,-0.003323905676733463
2021-04-01,0.17,4019.87,113.7389,0.010000000000000009,0.011825144919693331,-0.0007423781050294176
2021-04-05,0.17,4077.91,113.394,0.0,0.014438277854756487,-0.0030323838194320496
2021-04-06,0.16,4073.94,113.1464,-0.010000000000000009,-0.0009735379152555623,-0.002183537047815598
2021-04-07,0.16,4079.95,113.2436,0.0,0.0014752303666720756,0.0008590640091068469
2021-04-08,0.14,4097.17,113.0917,-0.01999999999999999,0.004220639958823158,-0.001341356156109419
2021-04-09,0.16,4128.8,113.2028,0.01999999999999999,0.007719962803593772,0.0009823886279893834
2021-04-12,0.18,4127.99,113.1815,0.01999999999999999,-0.000196182910288778,-0.00018815789008752581
2021-04-13,0.16,4141.59,113.0391,-0.01999999999999999,0.00329458162447116,-0.0012581561474268588
2021-04-14,0.16,4124.66,112.7849,0.0,-0.0040878020277237415,-0.0022487794046486265
2021-04-15,0.16,4170.42,112.6181,0.0,0.011094247768300924,-0.0014789213804329293
2021-04-16,0.16,4185.47,112.4814,0.0,0.0036087492386858155,-0.0012138368521579235
2021-04-19,0.16,4163.26,112.1835,0.0,-0.005306453038726788,-0.002648437875061971
2021-04-20,0.15,4134.94,112.2354,-0.010000000000000009,-0.006802361610853236,0.0004626348794609658
2021-04-21,0.15,4173.42,112.1771,0.0,0.009306060063749566,-0.0005194439544029539
2021-04-22,0.16,4134.98,112.2297,0.010000000000000009,-0.009210671343885979,0.0004689014067933428
2021-04-23,0.16,4180.17,112.0889,0.0,0.010928710658818286,-0.001254569868760269
2021-04-26,0.18,4187.62,111.8109,0.01999999999999999,0.001782224167916624,-0.002480174218856601
2021-04-27,0.17,4186.72,111.9097,-0.009999999999999981,-0.0002149192142553158,0.000883634779793363
2021-04-28,0.17,4183.18,111.7909,0.0,-0.0008455306301830001,-0.001061570176669302
2021-04-29,0.16,4211.47,111.7464,-0.010000000000000009,0.006762797680233579,-0.0003980646009648092
2021-04-30,0.16,4181.17,112.0839,0.0,-0.007194637501869883,0.003020231524237138
2021-05-03,0.16,4192.66,112.005,0.0,0.0027480346410215795,-0.000703936961508389
2021-05-04,0.16,4164.66,112.2896,0.0,-0.006678337857112138,0.002540957992946735
2021-05-05,0.16,4167.59,112.1514,0.0,0.0007035388242977447,-0.0012307462133626101
2021-05-06,0.16,4201.62,111.8401,0.0,0.008165390549454088,-0.0027757121177264255
2021-05-07,0.14,4232.6,111.0249,-0.01999999999999999,0.007373346471123199,-0.007288977745906866
2021-05-10,0.16,4188.43,110.7905,0.01999999999999999,-0.010435666020885526,-0.002111238109649305
2021-05-11,0.16,4152.1,110.8921,0.0,-0.008673894514173552,0.000917046136627242
2021-05-12,0.16,4063.04,111.5636,0.0,-0.021449387057151936,0.0060554358696425226
2021-05-13,0.16,4112.5,111.5955,0.0,0.012173151138064053,0.0002859355560416166
2021-05-14,0.16,4173.85,111.1353,0.0,0.014917933130699224,-0.004123822197131588
2021-05-17,0.16,4163.29,111.079,0.0,-0.0025300382141189015,-0.0005065897154190591
2021-05-18,0.16,4127.83,110.8317,0.0,-0.008517302421882755,-0.0022263434132463455
2021-05-19,0.16,4115.68,110.8807,0.0,-0.0029434351705374118,0.00044211177848940686
