,tone_score,tone_score_norm,tone_score_change,tone_score_norm_change,us2yield_change,sp500_return,usd_index_change
count,42.0000,42.0000,41.0000,41.0000,41.0000,41.0000,41.0000
mean,10.7857,0.0288,-0.0488,0.0001,-0.0198,0.0016,-0.0005
std,2.3740,0.0074,1.5322,0.0053,0.0920,0.0126,0.0023
min,6.0000,0.0152,-4.0000,-0.0154,-0.2700,-0.0295,-0.0074
25%,9.0000,0.0232,0.0000,-0.0013,-0.0700,-0.0047,-0.0016
50%,11.0000,0.0295,0.0000,-0.0003,0.0000,-0.0001,-0.0003
75%,12.7500,0.0350,1.0000,0.0016,0.0400,0.0095,0.0006
max,14.0000,0.0400,4.0000,0.0159,0.1200,0.0299,0.0049
