dictionary,hawkish_terms,dovish_terms,mean_tone_score_norm,std_tone_score_norm,min_tone_score_norm,max_tone_score_norm,correlation_with_expanded
baseline,20,10,0.031502526930949924,0.007458033108521308,0.017676767676767676,0.04285714285714286,0.9565503991498531
expanded,27,20,0.027344027873942398,0.010348161516214788,0.010101010101010102,0.045714285714285714,1.0
